Country,Region
Anguila,LATIN AMER. & CARIB    
Antigua and Barbuda,LATIN AMER. & CARIB    
Belgium-Luxembourg,WESTERN EUROPE                     
Central African Republic,SUB-SAHARAN AFRICA                 
Cocos (Keeling) Islands,OCEANIA                            
"Congo, Rep.",SUB-SAHARAN AFRICA                 
Czechoslovakia,EASTERN EUROPE                     
Christmas Island,OCEANIA                            
East Asia & Pacific,NA
Europe & Central Asia,NA
"Egypt, Arab Rep.",NORTHERN AFRICA                    
Ethiopia(includes Eritrea),SUB-SAHARAN AFRICA                 
Falkland Island,LATIN AMER. & CARIB    
Faeroe Islands,NA
"Hong Kong, China",ASIA (EX. NEAR EAST)         
British Indian Ocean Ter.,NA
"Iran, Islamic Rep.",ASIA (EX. NEAR EAST)         
St. Kitts and Nevis,LATIN AMER. & CARIB    
"Korea, Rep.",ASIA (EX. NEAR EAST)         
Lao PDR,ASIA (EX. NEAR EAST)         
St. Lucia,LATIN AMER. & CARIB    
Latin America & Caribbean,NA
Macao,ASIA (EX. NEAR EAST)         
Middle East & North Africa,NA
Myanmar,ASIA (EX. NEAR EAST)         
North America,NA
Norfolk Island,OCEANIA                            
Niue,Pitcairn
"Other Asia, nes",NA
Pacific Islands,NA
Pitcairn,Pitcairn
"Korea, Dem. Rep.",ASIA (EX. NEAR EAST)         
South Asia,NA
Fm Sudan,SUB-SAHARAN AFRICA                 
Saint Pierre and Miquelon,NORTHERN AMERICA                   
Sub-Saharan Africa,NA
Sao Tome and Principe,SUB-SAHARAN AFRICA                 
Soviet Union,C.W. OF IND. STATES 
Syrian Arab Republic,NEAR EAST                          
Turks and Caicos Isl.,LATIN AMER. & CARIB    
Tokelau,OCEANIA                            
Trinidad and Tobago,LATIN AMER. & CARIB    
Unspecified,NA
St. Vincent and the Grenadines,LATIN AMER. & CARIB    
British Virgin Islands,NA
 World,NA
"Yugoslavia,FR(Serbia/Montenegr",C.W. OF IND. STATES 
Bosnia and Herzegovina,EASTERN EUROPE                     
"Micronesia, Fed. Sts.",OCEANIA                            
Kyrgyz Republic,C.W. OF IND. STATES 
Russian Federation,C.W. OF IND. STATES 
"Serbia, FR(Serbia/Montenegro)",EASTERN EUROPE                     
Wallis and Futura Isl.,OCEANIA                            
Ethiopia(excludes Eritrea),SUB-SAHARAN AFRICA                 
"Macedonia, FYR",EASTERN EUROPE                     
Slovak Republic,EASTERN EUROPE                     
Heard Island and McDonald Isla,OCEANIA                            
Occ.Pal.Terr,NA
Holy See,WESTERN EUROPE                     
Montenegro,EASTERN EUROPE                     
Curaçao,NA
Saint Maarten (Dutch part),LATIN AMER. & CARIB    
South Sudan,SUB-SAHARAN AFRICA                 